sec,queue_cnt,count
1069,1,1
1069,2,4
1069,3,6
1069,4,5
1069,5,4
1069,6,6
1069,7,6
1069,8,7
1069,9,8
1069,10,11
1069,11,10
1069,12,9
1069,13,13
1069,14,18
1069,15,24
1069,16,33
1069,17,41
1069,18,49
1069,19,61
1069,20,75
1069,21,99
1069,22,110
1069,23,133
1069,24,171
1069,25,215
1069,26,302
1069,27,448
1069,28,731
1069,29,1260
1069,30,2146
1069,31,3902
1069,32,8459
1070,1,0
1070,2,0
1070,3,0
1070,4,1
1070,5,2
1070,6,4
1070,7,3
1070,8,5
1070,9,6
1070,10,11
1070,11,19
1070,12,24
1070,13,35
1070,14,39
1070,15,42
1070,16,50
1070,17,48
1070,18,61
1070,19,64
1070,20,96
1070,21,108
1070,22,103
1070,23,116
1070,24,146
1070,25,186
1070,26,238
1070,27,350
1070,28,581
1070,29,985
1070,30,1614
1070,31,3057
1070,32,7146
1071,1,1
1071,2,1
1071,3,1
1071,4,2
1071,5,3
1071,6,3
1071,7,3
1071,8,3
1071,9,5
1071,10,9
1071,11,15
1071,12,15
1071,13,22
1071,14,28
1071,15,29
1071,16,40
1071,17,46
1071,18,51
1071,19,65
1071,20,81
1071,21,77
1071,22,86
1071,23,97
1071,24,144
1071,25,173
1071,26,219
1071,27,312
1071,28,497
1071,29,817
1071,30,1374
1071,31,2696
1071,32,5872
1072,1,1
1072,2,1
1072,3,1
1072,4,2
1072,5,2
1072,6,2
1072,7,5
1072,8,6
1072,9,15
1072,10,17
1072,11,22
1072,12,27
1072,13,34
1072,14,35
1072,15,44
1072,16,60
1072,17,63
1072,18,91
1072,19,88
1072,20,105
1072,21,109
1072,22,142
1072,23,139
1072,24,161
1072,25,213
1072,26,280
1072,27,360
1072,28,713
1072,29,1250
1072,30,2209
1072,31,4142
1072,32,8827
1073,1,0
1073,2,2
1073,3,3
1073,4,4
1073,5,5
1073,6,3
1073,7,4
1073,8,2
1073,9,2
1073,10,2
1073,11,2
1073,12,1
1073,13,1
1073,14,1
1073,15,1
1073,16,5
1073,17,7
1073,18,7
1073,19,12
1073,20,19
1073,21,19
1073,22,29
1073,23,30
1073,24,41
1073,25,66
1073,26,90
1073,27,138
1073,28,268
1073,29,462
1073,30,877
1073,31,1766
1073,32,4062
1075,1,3
1075,2,3
1075,3,5
1075,4,7
1075,5,7
1075,6,7
1075,7,6
1075,8,6
1075,9,8
1075,10,7
1075,11,6
1075,12,5
1075,13,5
1075,14,5
1075,15,6
1075,16,6
1075,17,3
1075,18,5
1075,19,4
1075,20,5
1075,21,5
1075,22,5
1075,23,6
1075,24,9
1075,25,24
1075,26,40
1075,27,85
1075,28,139
1075,29,280
1075,30,628
1075,31,1411
1075,32,8105
1076,1,0
1076,2,0
1076,3,0
1076,4,0
1076,5,0
1076,6,0
1076,7,0
1076,8,0
1076,9,0
1076,10,0
1076,11,0
1076,12,0
1076,13,0
1076,14,0
1076,15,0
1076,16,0
1076,17,2
1076,18,1
1076,19,1
1076,20,1
1076,21,1
1076,22,3
1076,23,9
1076,24,10
1076,25,33
1076,26,87
1076,27,197
1076,28,455
1076,29,928
1076,30,2037
1076,31,4643
1076,32,22046
1077,1,0
1077,2,0
1077,3,0
1077,4,0
1077,5,0
1077,6,0
1077,7,0
1077,8,2
1077,9,2
1077,10,4
1077,11,1
1077,12,4
1077,13,6
1077,14,4
1077,15,9
1077,16,17
1077,17,19
1077,18,25
1077,19,27
1077,20,35
1077,21,42
1077,22,50
1077,23,59
1077,24,88
1077,25,123
1077,26,228
1077,27,396
1077,28,843
1077,29,1701
1077,30,3311
1077,31,6844
1077,32,16399
1078,1,1
1078,2,2
1078,3,2
1078,4,2
1078,5,2
1078,6,2
1078,7,3
1078,8,6
1078,9,6
1078,10,5
1078,11,8
1078,12,10
1078,13,9
1078,14,14
1078,15,20
1078,16,25
1078,17,39
1078,18,41
1078,19,49
1078,20,65
1078,21,79
1078,22,88
1078,23,104
1078,24,133
1078,25,195
1078,26,325
1078,27,532
1078,28,980
1078,29,1764
1078,30,2982
1078,31,5790
1078,32,12938
1079,1,0
1079,2,1
1079,3,1
1079,4,3
1079,5,2
1079,6,4
1079,7,3
1079,8,8
1079,9,9
1079,10,10
1079,11,11
1079,12,14
1079,13,17
1079,14,19
1079,15,24
1079,16,32
1079,17,32
1079,18,38
1079,19,55
1079,20,67
1079,21,76
1079,22,99
1079,23,116
1079,24,165
1079,25,208
1079,26,264
1079,27,461
1079,28,778
1079,29,1491
1079,30,2714
1079,31,5318
1079,32,11962
1080,1,7
1080,2,7
1080,3,10
1080,4,12
1080,5,15
1080,6,14
1080,7,15
1080,8,13
1080,9,14
1080,10,16
1080,11,20
1080,12,21
1080,13,22
1080,14,26
1080,15,31
1080,16,34
1080,17,35
1080,18,44
1080,19,52
1080,20,67
1080,21,93
1080,22,116
1080,23,137
1080,24,179
1080,25,253
1080,26,341
1080,27,563
1080,28,870
1080,29,1521
1080,30,2524
1080,31,4696
1080,32,10352
1081,1,222
1081,2,83
1081,3,88
