time,lba,count
1211,2621378,0
1211,5242756,0
1211,7864134,0
1211,10485512,0
1211,13106890,0
1211,15728268,0
1211,18349646,0
1211,20971024,0
1211,23592402,0
1211,26213780,0
1211,28835158,0
1211,31456536,0
1211,34077914,0
1211,36699292,0
1211,39320670,0
1211,41942048,0
1211,44563426,172
1211,47184804,0
1211,49806182,0
1211,52427560,0
1212,2621378,0
1212,5242756,0
1212,7864134,0
1212,10485512,0
1212,13106890,0
1212,15728268,0
1212,18349646,0
1212,20971024,0
1212,23592402,0
1212,26213780,0
1212,28835158,0
1212,31456536,0
1212,34077914,0
1212,36699292,0
1212,39320670,0
1212,41942048,0
1212,44563426,8
1212,47184804,142
1212,49806182,0
1212,52427560,0
1213,2621378,23
1213,5242756,496
1213,7864134,0
1213,10485512,0
1213,13106890,0
1213,15728268,0
1213,18349646,0
1213,20971024,0
1213,23592402,0
1213,26213780,0
1213,28835158,0
1213,31456536,0
1213,34077914,0
1213,36699292,0
1213,39320670,0
1213,41942048,0
1213,44563426,0
1213,47184804,205
1213,49806182,0
1213,52427560,0
1214,2621378,4542
1214,5242756,406
1214,7864134,0
1214,10485512,0
1214,13106890,0
1214,15728268,0
1214,18349646,0
1214,20971024,0
1214,23592402,0
1214,26213780,0
1214,28835158,0
1214,31456536,0
1214,34077914,0
1214,36699292,0
1214,39320670,0
1214,41942048,0
1214,44563426,0
1214,47184804,197
1214,49806182,0
1214,52427560,0
1215,2621378,5615
1215,5242756,0
1215,7864134,0
1215,10485512,0
1215,13106890,0
1215,15728268,0
1215,18349646,0
1215,20971024,0
1215,23592402,0
1215,26213780,0
1215,28835158,0
1215,31456536,0
1215,34077914,0
1215,36699292,0
1215,39320670,0
1215,41942048,0
1215,44563426,0
1215,47184804,198
1215,49806182,0
1215,52427560,0
1216,2621378,4194
1216,5242756,0
1216,7864134,0
1216,10485512,0
1216,13106890,0
1216,15728268,0
1216,18349646,0
1216,20971024,0
1216,23592402,0
1216,26213780,0
1216,28835158,0
1216,31456536,0
1216,34077914,0
1216,36699292,0
1216,39320670,0
1216,41942048,0
1216,44563426,0
1216,47184804,235
1216,49806182,0
1216,52427560,0
1217,2621378,4594
1217,5242756,0
1217,7864134,0
1217,10485512,0
1217,13106890,0
1217,15728268,0
1217,18349646,0
1217,20971024,0
1217,23592402,0
1217,26213780,0
1217,28835158,0
1217,31456536,0
1217,34077914,0
1217,36699292,0
1217,39320670,0
1217,41942048,0
1217,44563426,0
1217,47184804,238
1217,49806182,0
1217,52427560,0
1218,2621378,9231
1218,5242756,0
1218,7864134,0
1218,10485512,0
1218,13106890,0
1218,15728268,0
1218,18349646,0
1218,20971024,0
1218,23592402,0
1218,26213780,0
1218,28835158,0
1218,31456536,0
1218,34077914,0
1218,36699292,0
1218,39320670,0
1218,41942048,0
1218,44563426,0
1218,47184804,258
1218,49806182,10
1218,52427560,0
1219,2621378,7456
1219,5242756,0
1219,7864134,0
1219,10485512,0
1219,13106890,0
1219,15728268,0
1219,18349646,0
1219,20971024,0
1219,23592402,0
1219,26213780,0
1219,28835158,0
1219,31456536,0
1219,34077914,0
1219,36699292,0
1219,39320670,0
1219,41942048,0
1219,44563426,0
1219,47184804,0
1219,49806182,304
1219,52427560,0
1220,2621378,4114
1220,5242756,0
1220,7864134,0
1220,10485512,0
1220,13106890,0
1220,15728268,0
1220,18349646,0
1220,20971024,0
1220,23592402,0
1220,26213780,0
1220,28835158,0
1220,31456536,0
1220,34077914,0
1220,36699292,0
1220,39320670,0
1220,41942048,0
1220,44563426,0
1220,47184804,0
1220,49806182,320
1220,52427560,0
1221,2621378,5677
1221,5242756,0
1221,7864134,0
1221,10485512,0
1221,13106890,0
1221,15728268,0
1221,18349646,0
1221,20971024,0
1221,23592402,0
1221,26213780,0
1221,28835158,0
1221,31456536,0
1221,34077914,0
1221,36699292,0
1221,39320670,0
1221,41942048,0
1221,44563426,0
1221,47184804,0
1221,49806182,224
1221,52427560,0
1222,2621378,5829
1222,5242756,0
1222,7864134,0
1222,10485512,0
1222,13106890,0
1222,15728268,0
1222,18349646,0
1222,20971024,0
1222,23592402,0
1222,26213780,0
1222,28835158,0
1222,31456536,0
1222,34077914,0
1222,36699292,0
1222,39320670,0
1222,41942048,0
1222,44563426,0
1222,47184804,0
1222,49806182,164
1222,52427560,0
1223,2621378,6421
1223,5242756,0
1223,7864134,0
1223,10485512,0
1223,13106890,0
1223,15728268,0
1223,18349646,0
1223,20971024,0
1223,23592402,0
1223,26213780,0
1223,28835158,0
1223,31456536,0
1223,34077914,0
1223,36699292,0
1223,39320670,0
1223,41942048,0
1223,44563426,0
1223,47184804,0
1223,49806182,183
1223,52427560,0
1224,2621378,7077
1224,5242756,0
1224,7864134,0
1224,10485512,0
1224,13106890,0
1224,15728268,0
1224,18349646,0
1224,20971024,0
1224,23592402,0
1224,26213780,0
1224,28835158,0
1224,31456536,0
1224,34077914,0
1224,36699292,0
1224,39320670,0
1224,41942048,0
1224,44563426,0
1224,47184804,0
1224,49806182,124
1224,52427560,0
1225,2621378,7171
1225,5242756,0
1225,7864134,0
1225,10485512,0
1225,13106890,0
1225,15728268,0
1225,18349646,0
1225,20971024,0
1225,23592402,0
1225,26213780,0
1225,28835158,0
1225,31456536,0
1225,34077914,0
1225,36699292,0
1225,39320670,0
1225,41942048,0
1225,44563426,0
1225,47184804,0
1225,49806182,141
1225,52427560,0
1226,2621378,8142
1226,5242756,0
1226,7864134,0
1226,10485512,0
1226,13106890,0
1226,15728268,0
1226,18349646,0
1226,20971024,0
1226,23592402,0
1226,26213780,0
1226,28835158,0
1226,31456536,0
1226,34077914,0
1226,36699292,0
1226,39320670,0
1226,41942048,0
1226,44563426,0
1226,47184804,0
1226,49806182,54
1226,52427560,0
1227,2621378,5141
1227,5242756,0
1227,7864134,0
1227,10485512,0
1227,13106890,0
1227,15728268,0
1227,18349646,0
1227,20971024,0
1227,23592402,0
1227,26213780,0
1227,28835158,0
1227,31456536,0
1227,34077914,0
1227,36699292,0
1227,39320670,0
1227,41942048,0
1227,44563426,0
1227,47184804,0
1227,49806182,124
1227,52427560,88
1228,2621378,9859
1228,5242756,0
1228,7864134,0
1228,10485512,0
1228,13106890,0
1228,15728268,0
1228,18349646,0
1228,20971024,0
1228,23592402,0
1228,26213780,0
1228,28835158,0
1228,31456536,0
1228,34077914,0
1228,36699292,0
1228,39320670,0
1228,41942048,0
1228,44563426,0
1228,47184804,0
1228,49806182,0
1228,52427560,208
1229,2621378,10680
1229,5242756,0
1229,7864134,0
1229,10485512,0
1229,13106890,0
1229,15728268,0
1229,18349646,0
1229,20971024,0
1229,23592402,0
1229,26213780,0
1229,28835158,0
1229,31456536,0
1229,34077914,0
1229,36699292,0
1229,39320670,0
1229,41942048,0
1229,44563426,0
1229,47184804,0
1229,49806182,0
1229,52427560,209
1230,2621378,10728
1230,5242756,0
1230,7864134,0
1230,10485512,0
1230,13106890,0
1230,15728268,0
1230,18349646,0
1230,20971024,0
1230,23592402,0
1230,26213780,0
1230,28835158,0
1230,31456536,0
1230,34077914,0
1230,36699292,0
1230,39320670,0
1230,41942048,0
1230,44563426,0
1230,47184804,0
1230,49806182,0
1230,52427560,198
1231,2621378,12526
1231,5242756,0
1231,7864134,0
1231,10485512,0
1231,13106890,0
1231,15728268,0
1231,18349646,0
1231,20971024,0
1231,23592402,0
1231,26213780,0
1231,28835158,0
1231,31456536,0
1231,34077914,0
1231,36699292,0
1231,39320670,0
1231,41942048,0
1231,44563426,0
1231,47184804,0
1231,49806182,0
1231,52427560,222
1232,2621378,12057
1232,5242756,0
1232,7864134,0
1232,10485512,0
1232,13106890,0
1232,15728268,0
1232,18349646,0
1232,20971024,0
1232,23592402,0
1232,26213780,0
1232,28835158,0
1232,31456536,0
1232,34077914,0
1232,36699292,0
1232,39320670,0
1232,41942048,0
1232,44563426,0
1232,47184804,0
1232,49806182,0
1232,52427560,205
1233,2621378,8104
1233,5242756,0
1233,7864134,0
1233,10485512,0
1233,13106890,0
1233,15728268,0
1233,18349646,0
1233,20971024,0
1233,23592402,0
1233,26213780,0
1233,28835158,0
1233,31456536,0
1233,34077914,0
1233,36699292,0
1233,39320670,0
1233,41942048,0
1233,44563426,0
1233,47184804,0
1233,49806182,0
1233,52427560,317
1234,2621378,10124
1234,5242756,0
1234,7864134,0
1234,10485512,0
1234,13106890,0
1234,15728268,0
1234,18349646,0
1234,20971024,0
1234,23592402,0
1234,26213780,0
