time,latency(us),0
1090,53010.1,0
1090,57829.2,0
1090,62648.3,0
1090,67467.4,0
1090,72286.5,0
1090,77105.6,0
1090,81924.7,0
1090,86743.8,0
1090,91562.9,0
1090,96382,0
1091,4819.1,17241
1091,9638.2,0
1091,14457.3,0
1091,19276.4,0
1091,24095.5,0
1091,28914.6,0
1091,33733.7,0
1091,38552.8,0
1091,43371.9,0
1091,48191,0
1091,53010.1,0
1091,57829.2,0
1091,62648.3,0
1091,67467.4,0
1091,72286.5,0
1091,77105.6,0
1091,81924.7,0
1091,86743.8,0
1091,91562.9,0
1091,96382,0
1092,4819.1,17225
1092,9638.2,0
1092,14457.3,0
1092,19276.4,0
1092,24095.5,0
1092,28914.6,0
1092,33733.7,0
1092,38552.8,0
1092,43371.9,0
1092,48191,0
1092,53010.1,0
1092,57829.2,0
1092,62648.3,0
1092,67467.4,0
1092,72286.5,0
1092,77105.6,0
1092,81924.7,0
1092,86743.8,0
1092,91562.9,0
1092,96382,0
1093,4819.1,17140
1093,9638.2,0
1093,14457.3,0
1093,19276.4,0
1093,24095.5,0
1093,28914.6,0
1093,33733.7,0
1093,38552.8,0
1093,43371.9,0
1093,48191,0
1093,53010.1,0
1093,57829.2,0
1093,62648.3,0
1093,67467.4,0
1093,72286.5,0
1093,77105.6,0
1093,81924.7,0
1093,86743.8,0
1093,91562.9,0
1093,96382,0
1094,4819.1,17527
1094,9638.2,0
1094,14457.3,0
1094,19276.4,0
1094,24095.5,0
1094,28914.6,0
1094,33733.7,0
1094,38552.8,0
1094,43371.9,0
1094,48191,0
1094,53010.1,0
1094,57829.2,0
1094,62648.3,0
1094,67467.4,0
1094,72286.5,0
1094,77105.6,0
1094,81924.7,0
1094,86743.8,0
1094,91562.9,0
1094,96382,0
1095,4819.1,17849
1095,9638.2,0
1095,14457.3,0
1095,19276.4,0
1095,24095.5,0
1095,28914.6,0
1095,33733.7,0
1095,38552.8,0
1095,43371.9,0
1095,48191,0
1095,53010.1,0
1095,57829.2,0
1095,62648.3,0
1095,67467.4,0
1095,72286.5,0
1095,77105.6,0
1095,81924.7,0
1095,86743.8,0
1095,91562.9,0
1095,96382,0
1096,4819.1,17834
1096,9638.2,0
1096,14457.3,0
1096,19276.4,0
1096,24095.5,0
1096,28914.6,0
1096,33733.7,0
1096,38552.8,0
1096,43371.9,0
1096,48191,0
1096,53010.1,0
1096,57829.2,0
1096,62648.3,0
1096,67467.4,0
1096,72286.5,0
1096,77105.6,0
1096,81924.7,0
1096,86743.8,0
1096,91562.9,0
1096,96382,0
1097,4819.1,15032
1097,9638.2,0
1097,14457.3,0
1097,19276.4,0
1097,24095.5,0
1097,28914.6,0
1097,33733.7,0
1097,38552.8,0
1097,43371.9,0
1097,48191,0
1097,53010.1,0
1097,57829.2,0
1097,62648.3,0
1097,67467.4,0
1097,72286.5,0
1097,77105.6,0
1097,81924.7,0
1097,86743.8,0
1097,91562.9,0
1097,96382,0
1098,4819.1,11377
1098,9638.2,0
1098,14457.3,0
1098,19276.4,0
1098,24095.5,0
1098,28914.6,0
1098,33733.7,0
1098,38552.8,0
1098,43371.9,0
1098,48191,0
1098,53010.1,0
1098,57829.2,0
1098,62648.3,0
1098,67467.4,0
1098,72286.5,0
1098,77105.6,0
1098,81924.7,0
1098,86743.8,0
1098,91562.9,0
1098,96382,0
1099,4819.1,5140
1099,9638.2,69
1099,14457.3,15
1099,19276.4,3
1099,24095.5,0
1099,28914.6,0
1099,33733.7,0
1099,38552.8,0
1099,43371.9,0
1099,48191,0
1099,53010.1,0
1099,57829.2,0
1099,62648.3,0
1099,67467.4,0
1099,72286.5,0
1099,77105.6,0
1099,81924.7,0
1099,86743.8,0
1099,91562.9,0
1099,96382,0
1100,4819.1,4163
1100,9638.2,37
1100,14457.3,18
1100,19276.4,16
1100,24095.5,6
1100,28914.6,0
1100,33733.7,0
1100,38552.8,0
1100,43371.9,0
1100,48191,0
1100,53010.1,0
1100,57829.2,0
1100,62648.3,0
1100,67467.4,0
1100,72286.5,0
1100,77105.6,0
1100,81924.7,0
1100,86743.8,0
1100,91562.9,0
1100,96382,0
1101,4819.1,4750
1101,9638.2,0
1101,14457.3,0
1101,19276.4,0
1101,24095.5,0
1101,28914.6,0
1101,33733.7,0
1101,38552.8,0
1101,43371.9,0
1101,48191,0
1101,53010.1,0
1101,57829.2,0
1101,62648.3,0
1101,67467.4,0
1101,72286.5,0
1101,77105.6,0
1101,81924.7,0
1101,86743.8,0
1101,91562.9,0
1101,96382,0
1102,4819.1,531
1102,9638.2,12
1102,14457.3,11
1102,19276.4,17
1102,24095.5,14
1102,28914.6,10
1102,33733.7,12
1102,38552.8,15
1102,43371.9,11
1102,48191,15
1102,53010.1,13
1102,57829.2,14
1102,62648.3,13
1102,67467.4,10
1102,72286.5,13
1102,77105.6,11
1102,81924.7,12
1102,86743.8,10
1102,91562.9,11
1102,96382,4
1103,4819.1,4802
1103,9638.2,5
1103,14457.3,6
1103,19276.4,8
1103,24095.5,5
1103,28914.6,4
1103,33733.7,7
1103,38552.8,4
1103,43371.9,5
1103,48191,6
1103,53010.1,5
1103,57829.2,3
1103,62648.3,4
1103,67467.4,4
1103,72286.5,3
1103,77105.6,5
1103,81924.7,3
1103,86743.8,2
1103,91562.9,2
1103,96382,1
1104,4819.1,4470
1104,9638.2,7
1104,14457.3,7
1104,19276.4,10
1104,24095.5,9
1104,28914.6,8
1104,33733.7,8
1104,38552.8,7
1104,43371.9,8
1104,48191,10
1104,53010.1,6
1104,57829.2,6
1104,62648.3,7
1104,67467.4,7
1104,72286.5,6
1104,77105.6,6
1104,81924.7,4
1104,86743.8,6
1104,91562.9,5
1104,96382,2
1105,4819.1,3469
1105,9638.2,8
1105,14457.3,8
1105,19276.4,10
1105,24095.5,8
1105,28914.6,6
1105,33733.7,8
1105,38552.8,8
1105,43371.9,7
1105,48191,8
1105,53010.1,8
1105,57829.2,7
1105,62648.3,8
1105,67467.4,7
1105,72286.5,9
1105,77105.6,6
1105,81924.7,9
1105,86743.8,7
1105,91562.9,7
1105,96382,3
1106,4819.1,5922
1106,9638.2,6
1106,14457.3,6
1106,19276.4,8
1106,24095.5,8
1106,28914.6,5
1106,33733.7,6
1106,38552.8,8
1106,43371.9,6
1106,48191,6
1106,53010.1,8
1106,57829.2,6
1106,62648.3,9
1106,67467.4,7
1106,72286.5,8
1106,77105.6,8
1106,81924.7,5
1106,86743.8,3
1106,91562.9,5
1106,96382,1
1107,4819.1,56989
1107,9638.2,0
1107,14457.3,0
1107,19276.4,0
1107,24095.5,0
1107,28914.6,0
1107,33733.7,0
1107,38552.8,0
1107,43371.9,0
1107,48191,0
1107,53010.1,0
1107,57829.2,0
1107,62648.3,0
1107,67467.4,0
1107,72286.5,0
1107,77105.6,0
1107,81924.7,0
1107,86743.8,0
1107,91562.9,0
1107,96382,0
1108,4819.1,61921
1108,9638.2,0
1108,14457.3,0
1108,19276.4,0
1108,24095.5,0
1108,28914.6,0
1108,33733.7,0
1108,38552.8,0
1108,43371.9,0
1108,48191,0
1108,53010.1,0
1108,57829.2,0
1108,62648.3,0
1108,67467.4,0
1108,72286.5,0
1108,77105.6,0
1108,81924.7,0
1108,86743.8,0
1108,91562.9,0
1108,96382,0
1109,4819.1,67340
1109,9638.2,0
1109,14457.3,0
1109,19276.4,0
1109,24095.5,0
1109,28914.6,0
1109,33733.7,0
1109,38552.8,0
1109,43371.9,0
1109,48191,0
1109,53010.1,0
1109,57829.2,0
1109,62648.3,0
1109,67467.4,0
1109,72286.5,0
